Program Time [s],data 0
26.4135,9.78753
26.4255,9.80669
26.4375,9.80669
26.4495,9.73963
26.4615,9.81627
26.4735,9.80908
26.4855,9.77795
26.4975,9.80429
26.5095,9.78274
26.5215,9.77795
26.5335,9.78274
26.5455,9.76837
26.5575,9.85459
26.5695,9.83064
26.5815,9.76837
26.5935,9.78992
26.6055,9.78274
26.6175,9.81627
26.6295,9.83543
26.6415,9.83782
26.6536,9.79471
26.6655,9.83543
26.6775,9.84261
26.6895,9.82106
26.7015,9.84501
26.7135,9.754
26.7255,9.81387
26.7375,9.78513
26.7495,9.85938
26.7615,9.77795
26.7735,9.82824
26.7855,9.83543
26.7975,9.80429
26.8095,9.77076
26.8215,9.76837
26.8335,9.80908
26.8455,9.82106
26.8575,9.77555
26.8695,9.80908
26.8815,9.83304
26.8935,9.77795
26.9055,9.82824
26.9175,9.82106
26.9295,9.82106
26.9415,9.74442
26.9535,9.82824
26.9655,9.80429
26.9775,9.90967
26.9895,9.83782
27.0015,9.68694
27.0135,9.78753
27.0255,9.77795
27.0375,9.8498
27.0495,9.8474
27.0615,9.81627
27.0735,9.82585
27.0855,9.80908
27.0975,9.754
27.1095,9.89291
27.1215,9.78513
27.1335,9.82585
27.1455,9.76597
27.1574,9.81387
27.1695,9.76118
27.1815,9.83064
27.1935,9.80429
27.2055,9.82824
27.2175,9.81387
27.2295,9.83304
27.2415,9.81866
27.2535,9.8498
27.2655,9.78034
27.2774,9.7995
27.2895,9.78513
27.3015,9.87375
27.3135,9.8498
27.3255,9.80429
27.3375,9.80429
27.3495,9.76358
27.3615,9.74681
27.3735,9.86656
27.3855,9.77076
27.3975,9.76118
27.4095,9.7995
27.4215,9.78992
27.4335,9.82585
27.4455,9.83543
27.4575,9.80669
27.4694,9.76837
27.4815,9.8019
27.4935,9.87375
27.5055,9.77555
27.5175,9.84022
27.5295,9.78992
27.5415,9.80908
27.5535,9.82106
27.5655,9.82106
27.5775,9.80908
27.5895,9.85459
27.6015,9.76837
27.6135,9.7995
27.6255,9.86177
27.6375,9.75639
27.6495,9.83064
27.6615,9.77076
27.6735,9.7995
27.6855,9.76358
27.6975,9.85698
27.7095,9.84501
27.7215,9.78992
27.7335,9.70849
27.7455,9.83782
27.7575,9.88093
27.7695,9.81148
27.7815,9.82824
27.7935,9.80669
27.8055,9.78274
27.8175,9.77076
27.8295,9.76358
27.8415,9.86656
27.8535,9.83304
27.8654,9.80908
27.8775,9.75879
27.8895,9.8019
27.9014,9.78753
27.9135,9.81387
27.9255,9.79232
27.9375,9.7516
27.9495,9.82824
27.9615,9.83543
27.9735,9.84261
27.9855,9.76597
27.9975,9.79711
28.0095,9.84501
28.0215,9.85938
28.0335,9.81387
